0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:10:31 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:11:15 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:11:18 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:11:18 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:12:02 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:12:04 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:12:04 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:12:50 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:12:52 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:12:52 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:13:25 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:13:28 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:13:28 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:14:19 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:14:22 +0530] "POST /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:14:22 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:16 +0530] "GET /PROJECT_4/ctl/MarksheetListCtl HTTP/1.1" 200 10926
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:16 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:16 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:40 +0530] "POST /PROJECT_4/ctl/MarksheetListCtl HTTP/1.1" 200 10952
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:40 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:40 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:52 +0530] "POST /PROJECT_4/ctl/MarksheetListCtl HTTP/1.1" 200 6890
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:52 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:15:52 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:07 +0530] "GET /PROJECT_4/ctl/UserListCtl HTTP/1.1" 200 9228
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:07 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:07 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:30 +0530] "GET /PROJECT_4/ctl/CollegeListCtl HTTP/1.1" 200 11325
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:30 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:30 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:37 +0530] "GET /PROJECT_4/ctl/RoleListCtl HTTP/1.1" 200 7806
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:37 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:37 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:41 +0530] "GET /PROJECT_4/ctl/StudentListCtl HTTP/1.1" 200 11525
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:41 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:41 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:46 +0530] "GET /PROJECT_4/ctl/CourseListCtl HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:46 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:46 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:16:49 +0530] "GET /PROJECT_4/ctl/CourseCtl HTTP/1.1" 200 5058
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:16 +0530] "GET /PROJECT_4/ctl/StudentCtl HTTP/1.1" 200 6902
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:36 +0530] "GET /PROJECT_4/ctl/RoleListCtl HTTP/1.1" 200 7806
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:37 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:37 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:40 +0530] "GET /PROJECT_4/ctl/StudentCtl HTTP/1.1" 200 6902
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:47 +0530] "GET /PROJECT_4/ctl/StudentListCtl HTTP/1.1" 200 11525
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:48 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:17:48 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:18:02 +0530] "POST /PROJECT_4/ctl/StudentListCtl HTTP/1.1" 200 10465
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:18:03 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:18:03 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:18:12 +0530] "GET /PROJECT_4/ctl/MarksheetListCtl HTTP/1.1" 200 10926
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:18:12 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:18:12 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:32:33 +0530] "POST /PROJECT_4/ctl/MarksheetListCtl HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:32:33 +0530] "GET /PROJECT_4/js/jquery.min.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:32:33 +0530] "GET /PROJECT_4/js/Checkbox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:32:41 +0530] "GET /PROJECT_4/ctl/MarksheetCtl HTTP/1.1" 200 6133
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:35:05 +0530] "GET /PROJECT_4/ctl/UserCtl HTTP/1.1" 200 9205
0:0:0:0:0:0:0:1 - - [06/Jan/2023:23:35:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
